DATASET_MULTIBAR
Separator TAB
DATASET_LABEL	Phyl
GCF_001654915.1_Bfe51602_DRAFTv1_genomic	0.906861446989985
GCF_000698555.1_SOAPdenovo_v1.05_genomic	1.1
GCF_007833165.1_ASM783316v1_genomic	0.206372503410632
GCF_001234065.1_7038_3_38_genomic	0.0154547452015812
GCF_900129885.1_IMG-taxon_2617270875_annotated_assembly_genomic	0.365726499818343
GCF_003722335.1_ASM372233v1_genomic	0.0481369722667149
GCF_000758305.1_ASM75830v1_genomic	0.0164780232603776
GCF_003050785.1_ASM305078v1_genomic	0.638586593583661
GCF_003646465.1_ASM364646v1_genomic	1
GCF_002754245.1_ASM275424v1_genomic	0.0248805153016021
GCF_001471655.2_ASM147165v2_genomic	0.0614086828645535
GCF_002285285.1_ASM228528v1_genomic	0.905922088190991
GCF_001294075.1_ASM129407v1_genomic	0.0238388778602156
GCF_003703815.1_ASM370381v1_genomic	NA
GCF_014262665.1_ASM1426266v1_genomic	0.695820102925295
GCF_014642595.1_ASM1464259v1_genomic	0.134200471262526
GCF_900249905.1_CBM2614_genomic	0.257421794213037
GCF_000381265.1_ASM38126v1_genomic	0.015270875027543
GCF_000373485.1_ASM37348v1_genomic	1
GCF_003441615.1_ASM344161v1_genomic	0.32300205984078
GCF_009362995.1_ASM936299v1_genomic	0.0472015488973718
GCF_007833355.1_ASM783335v1_genomic	0.651385693129067
GCF_007004665.1_ASM700466v1_genomic	1
GCF_000482785.1_ASM48278v1_genomic	0.476722532588454
GCF_001673765.1_ASM167376v1_genomic	0.00782239289973516
GCF_002024165.1_SSNF3.0_genomic	0
GCF_006385135.1_ASM638513v1_genomic	0.372942386831276
GCF_001270265.1_SD006_V1_genomic	1.1
GCF_002982195.1_ASM298219v1_genomic	1.1
GCF_010092695.1_ASM1009269v1_genomic	0.148168336838503
GCF_013416545.1_ASM1341654v1_genomic	NA
GCF_001682005.1_ASM168200v1_genomic	0.86417825875843
GCF_001542875.1_ASM154287v1_genomic	0.15031226867871
GCF_004797935.1_ASM479793v1_genomic	0.14497421344463
GCF_000236605.1_ASM23660v1_genomic	0.29633497336124
GCF_010686765.1_ASM1068676v1_genomic	0.672531938478799
GCF_002836745.1_ASM283674v1_genomic	0.00829585852076961
GCF_014644555.1_ASM1464455v1_genomic	0
GCF_000332995.1_ASM33299v1_genomic	0.502127533600681
GCF_001552335.1_ASM155233v1_genomic	NA
GCF_008370495.1_ASM837049v1_genomic	0.259909142581043
GCF_013371085.1_ASM1337108v1_genomic	0.68639585308707
GCF_000282575.1_Herbaspirillum.strYR522_v1.0_genomic	0.312557435300502
GCF_001011155.1_ASM101115v1_genomic	0.0975897740210034
GCF_000214175.1_ASM21417v1_genomic	0.0475846744943409
GCF_001428625.1_Root209_genomic	0.546023008884011
GCF_000600295.1_HgNR1.0_genomic	1.1
GCF_010499455.1_ASM1049945v1_genomic	1.1
GCF_001697225.1_ASM169722v1_genomic	1
GCF_002006995.1_ASM200699v1_genomic	0.00493838245527397
GCF_904423795.1_G1766_genomic	0.507746689487957
GCF_900107415.1_IMG-taxon_2693429889_annotated_assembly_genomic	0.128888675090415
GCF_003096775.1_ASM309677v1_genomic	0.0933572730300134
GCF_000988095.1_ASM98809v1_genomic	1.1
GCF_002868715.1_ASM286871v1_genomic	1
GCF_014191015.1_ASM1419101v1_genomic	0.0916984302884908
GCF_014203705.1_ASM1420370v1_genomic	0
GCF_007558485.1_ASM755848v1_genomic	1.1
GCF_900112525.1_IMG-taxon_2599185298_annotated_assembly_genomic	0.36465835021849
GCF_014218705.1_ASM1421870v1_genomic	0.61960191109739
GCF_001275345.1_ASM127534v1_genomic	0.00266029241934273
GCF_003403295.1_ASM340329v1_genomic	0.0454053188959405
GCF_003385845.1_ASM338584v1_genomic	0.482621637861606
GCF_002906165.1_ASM290616v1_genomic	0.976973915433796
GCF_004833285.1_ASM483328v1_genomic	0.377953142389082
GCF_014773465.1_ASM1477346v1_genomic	0.841530214805841
GCF_002923065.1_ASM292306v1_genomic	0.215411921250762
GCF_003063455.1_ASM306345v1_genomic	1.1
GCF_900110775.1_IMG-taxon_2615840713_annotated_assembly_genomic	1
GCF_000158175.1_ASM15817v1_genomic	1
GCF_001655675.1_ASM165567v1_genomic	0.207409418650255
GCF_013184745.1_ASM1318474v1_genomic	1
GCF_013283315.1_ASM1328331v1_genomic	0.993934115826499
GCF_005222245.1_ASM522224v1_genomic	0.829901958069858
GCF_001908835.1_ASM190883v1_genomic	0.392793990972536
GCF_013459415.1_ASM1345941v1_genomic	0.143331431527724
GCF_011682155.1_ASM1168215v1_genomic	1.1
GCF_001428205.1_Root172_genomic	1.1
GCF_003007735.2_ASM300773v2_genomic	1
GCF_000511135.2_Mb_MiSeq_454_130116_genomic	0
GCF_900120825.1_14722_6_17_genomic	1.1
GCF_001667965.1_ASM166796v1_genomic	0.394821417593902
GCF_013002685.1_ASM1300268v1_genomic	0.0125351914568297
GCF_004000255.1_ASM400025v1_genomic	0
GCF_001279525.1_ASM127952v1_genomic	0.673986873375412
GCF_001429525.1_Soil796_genomic	0.770967653631979
GCF_004348685.1_ASM434868v1_genomic	0.150458744943295
GCF_014193475.1_ASM1419347v1_genomic	1.1
GCF_008124525.1_ASM812452v1_genomic	0.0831949046284665
GCF_000526275.1_ASM52627v1_genomic	0.105289765274763
GCF_000422845.1_ASM42284v1_genomic	1
GCF_008017535.1_ASM801753v1_genomic	0.462547253630602
GCF_003814915.1_ASM381491v1_genomic	0.83465899303902
GCF_011290505.1_ASM1129050v1_genomic	0.96918015454856
GCF_014190875.1_ASM1419087v1_genomic	0.603399392974944
GCF_000382365.1_ASM38236v1_genomic	0.089663085841792
GCF_001709315.1_ASM170931v1_genomic	0.0129302815674605
GCF_900100735.1_IMG-taxon_2651870170_annotated_assembly_genomic	0.92984855953926
GCF_001546115.1_ASM154611v1_genomic	0.955881871856627
GCF_011378905.1_ASM1137890v1_genomic	1.1
GCF_008064635.1_ASM806463v1_genomic	0.184162820933826
GCF_004346225.1_ASM434622v1_genomic	1
GCF_005887635.2_ASM588763v2_genomic	1
GCF_013416525.1_ASM1341652v1_genomic	1
GCF_003076755.1_ASM307675v1_genomic	0.440643256359772
GCF_001426885.1_Root1444_genomic	0.714890824682817
GCF_002892225.1_ASM289222v1_genomic	1.1
GCF_008041915.1_ASM804191v1_genomic	0.299169137797837
GCF_002188635.1_ASM218863v1_genomic	0.752553473359647
GCF_001890925.1_ASM189092v1_genomic	1.1
GCF_002151975.1_ASM215197v1_genomic	0.97906960669109
GCF_003194385.1_ASM319438v1_genomic	1
GCF_004000435.1_ASM400043v1_genomic	0.00116141044973763
GCF_900116005.1_IMG-taxon_2634166304_annotated_assembly_genomic	0.0587521461487349
GCF_003001955.1_ASM300195v1_genomic	0.854270183866347
GCF_002250545.1_ASM225054v1_genomic	0.177531611126931
GCF_006716235.1_ASM671623v1_genomic	1
GCF_006483425.1_ASM648342v1_genomic	0.00152880394495906
GCF_002928315.1_ASM292831v1_genomic	1
GCF_003350475.1_ASM335047v1_genomic	0.964372416428995
GCF_003057695.2_ASM305769v2_genomic	1.1
GCF_003143995.1_ASM314399v1_genomic	0.177056506999793
GCF_003367195.1_ASM336719v1_genomic	0.421691517003007
GCF_002024305.1_ASM202430v1_genomic	0.884497368484249
GCF_900102195.1_IMG-taxon_2667527404_annotated_assembly_genomic	0.888599330675431
GCF_004959925.1_ASM495992v1_genomic	0.436752729979366
GCF_011602085.1_ASM1160208v1_genomic	NA
GCF_001623095.1_ASM162309v1_genomic	0.478842264457446
GCF_010093445.1_ASM1009344v1_genomic	0.173079580214303
GCF_003097615.1_ASM309761v1_genomic	1
GCF_013416295.1_ASM1341629v1_genomic	0.990407908217625
GCF_900092135.1_IMG-taxon_2651870304_annotated_assembly_genomic	0.516693464485009
GCF_004682015.1_ASM468201v1_genomic	1.1
GCF_011149255.1_ASM1114925v1_genomic	0.873406044710166
GCF_000312425.1_ASM31242v1_genomic	0.0490368611205266
GCF_900469735.1_AFS050759_genomic	0.00538769343974965
GCF_013267155.1_ASM1326715v1_genomic	1.1
GCF_002166865.1_ASM216686v1_genomic	0.632573019650838
GCF_900455735.1_55312_C01_genomic	0.736726653166129
GCF_000498435.1_ED16_genomic	1.1
GCF_003258855.1_ASM325885v1_genomic	0.836106474695303
GCF_003574735.1_ASM357473v1_genomic	0.253745999906828
GCF_900110395.1_IMG-taxon_2590828823_annotated_assembly_genomic	0.02467404278335
GCF_902833845.1_ASM90283384v1_genomic	1.1
GCF_000152965.1_ASM15296v1_genomic	0.0279364988280828
GCF_900455935.1_50624_C01_genomic	0.0662383627517798
GCF_902498755.1_RV420_assembly_genomic	0
GCF_013031405.1_ASM1303140v1_genomic	1.1
GCF_009380215.1_ASM938021v1_genomic	0.0200991109493257
GCF_000527075.1_ASM52707v1_genomic	0.079876189617377
GCF_900106995.1_IMG-taxon_2671180068_annotated_assembly_genomic	0.617971169996686
GCF_000169415.1_ASM16941v1_genomic	1.1
GCF_002894575.1_ASM289457v1_genomic	1.1
GCF_003206695.1_ASM320669v1_genomic	0.179211644118123
GCF_004361715.1_ASM436171v1_genomic	0.999951820496937
GCF_000379465.1_ASM37946v1_genomic	0.580961727183513
GCF_004341035.1_ASM434103v1_genomic	1
GCF_008370165.1_ASM837016v1_genomic	1.1
GCF_000689195.1_CLC_Genomics_workbench_5.0_genomic	1.1
GCF_014196635.1_ASM1419663v1_genomic	0.705204662992902
GCF_001476905.1_ASM147690v1_genomic	0.554244351372836
GCF_003609835.1_ASM360983v1_genomic	0.0100814923688144
GCF_003012735.1_ASM301273v1_genomic	0
GCF_001010805.1_ASM101080v1_genomic	0.242719714512363
GCF_008369195.1_ASM836919v1_genomic	0.0727268028479935
GCF_003610575.1_ASM361057v1_genomic	0.0647610838740255
GCF_007097205.2_ASM709720v2_genomic	1.1
GCF_014805345.1_ASM1480534v1_genomic	0.235634437144325
GCF_002900965.1_ASM290096v1_genomic	0.087303386686671
GCF_003031585.1_ASM303158v1_genomic	0
GCF_003344785.1_ASM334478v1_genomic	0.23335007466128
GCF_003326675.1_ASM332667v1_genomic	0.0740345909315882
GCF_900108255.1_IMG-taxon_2651870126_annotated_assembly_genomic	0.373916603907075
GCF_003268475.1_ASM326847v1_genomic	0.17700816576019
GCF_000714535.1_SOAPdenovo_v1.05_genomic	0.0140729009532599
GCF_900634615.1_Thiomonas_sp_CB2_genomic	0.584219621925788
GCF_902833925.1_ASM90283392v1_genomic	0.150974966998949
GCF_900631615.1_NCTC10741_2_genomic	0.39385302837174
GCF_900107295.1_IMG-taxon_2687453812_annotated_assembly_genomic	0.925407774759479
GCF_007558815.1_ASM755881v1_genomic	1
GCF_008085535.1_ASM808553v1_genomic	0.862581327588329
GCF_902375805.1_MGYG-HGUT-01520_genomic	0
GCF_014635305.1_ASM1463530v1_genomic	0.6363584027038
GCF_000745855.1_ASM74585v1_genomic	0.256874055218237
GCF_002237365.1_ASM223736v1_genomic	0.739173933388904
GCF_006539865.1_ASM653986v1_genomic	0.933220690728559
